Author,Cluster,Effect_ID,Study_design,Cor_type,Cor,p-value,n,Prop_women,Age,Health_status,Testing_context,AAT_measure,IAPA_calculation,PA_objectivity,PA_measure,PA_outcome,PA_component,Mean of PA,Quality_score_10,Comment
"Moffitt, 2020 Study 1","Moffitt, 2020 Study 1",Effect 19,Cross-sectional,Bivariate - Spearman,-0.12,0.18,189,0.77,22.7,General population,Online,Modified IAT,RT avoid AP - RT approach AP,Self-reported measure,IPAQ-SF,min/week,MVPA,148 min/week,4,
"Moffitt, 2020 Study 2","Moffitt, 2020 Study 2",Effect 20,Interventional,Bivariate - Spearman,0.01,0.91,88,0.67,32.7,General population,Online,IAT-RF,RT avoid AP - RT approach AP,Self-reported measure,IPAQ-SF,min/week,MVPA,55 min/week,6,
